Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Willow Street Lofts,,New York,SYRACUSE,,221 West Division Street,13204,Refurbish old vacant building into apartments.  Salary information not gathered on this project.,,2012,"$39,801 ",$0 ,"$39,801 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 13; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"East Side Business Center, LLC",,New York,SYRACUSE,,1201 East Fayette Street,13202,Acquisition and renovation of business center.  Salary information not gathered on this project.,,2012,"$39,173 ",$0 ,"$39,173 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 0; retained: 143,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Hotel Skyler Project,,New York,SYRACUSE,,601 S Crouse Avenue & Harrison St,13202,Renovation of existing Temple Adath Yeshurun into a 58 unit hotel serving the surrounding University and hospitals. It will use variety of green building strategies resulting in LEED platinum certification. Salary information not gathered on this project. To create 34 new jobs (12 part time and 22 full time).,,2010,"$39,000 ",$0 ,"$39,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Intrepid Lane Facility,,New York,Syracuse,Onondaga,5719 Widewaters Parkway,13214,,,2005,"$38,722 ",$0 ,"$38,722 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,0,,,"$1,625,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,Construction,,2014,"$38,364 ",$0 ,"$38,364 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Amos Building Project,,New York,SYRACUSE,,227 West Fayette Street,13202,"Renovate vacant building into mixed use: Retail, apartments. Salary information not gathered on this project.",,2010,"$38,256 ",$0 ,"$38,256 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,constrction project,,2013,"$38,207 ",$0 ,"$38,207 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
VIP Architectural Associates Facility,,New York,Syracuse,,,,,,2008,"$38,164 ",$0 ,"$38,164 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,50,,,"$1,725,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,"432 North Franklin Properties, LLC",13204,Refurbished old factory into new office building.  Salary information not gathered on this project.,,2013,"$37,895 ",$0 ,"$37,895 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Amos Building Project,,New York,SYRACUSE,,227 West Fayette Street,13202,"Renovate vacant building into mixed use:  Retail, apartments.  Salary information not gathered on this project.",,2013,"$37,482 ",$0 ,"$37,482 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Intrepid Lane Facility - 2009 Refinancing,,New York,SYRACUSE,,190 Intrepid lane,13205,Refinancing of 2001 Project (31020102A).Original Project has been completely refinanced. No salry information has been gathered on this project.,,2010,"$37,102 ",$0 ,"$37,102 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"360 Warren Associates, LLC (Onondaga Tower/HSBC)",,New York,SYRACUSE,,360 Warren St,13202,"Renovation of 130,000 sq ft into Class A office space consisting of an approximate 19,000 sq ft ground floor with retail and office space and an 8 story office tower atop a 400 car garage (garage not part of the project).  Project is located at 125 E Fayette St., aka 352368 Warren St S & Jefferson St., commonly known as the Onondaga Tower (former HSBC Building).Work did not begin on this project until January 2013.Salary information not collected on this project. PILOT effective 71.13",,2013,"$36,995 ",$0 ,"$36,995 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Amos Building Project,,New York,Syracuse,,,,,,2008,"$36,987 ",$0 ,"$36,987 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,80,,,"$3,902,986 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
"Franklin Lofts, LLC",,New York,SYRACUSE,,221 West Division Street,13207,Renovation of vacant building into apartments. Salary information not gathered on this project.,,2011,"$36,957 ",$0 ,"$36,957 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Amos Building Project,,New York,SYRACUSE,,"Syracuse Soma, LLC",13202,"Renovate vacant building into mixed use: Retail, apartments. Salary information not gathered on this project.",,2009,"$36,736 ",$0 ,"$36,736 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,20,,,"$3,902,986 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Syrwil Facility,,New York,Syracuse,,,,,,2008,"$36,676 ",$0 ,"$36,676 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,400,,,"$13,000,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Syracuse Executive Air Services,,New York,Syracuse,Onondaga,1899 Malden Road,13211,,,2004,"$34,887 ",$0 ,"$34,887 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,18,,,"$3,500,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Seminary Commons LLC,,New York,SYRACUSE,,120 East Washington Street,13202,Services,,2014,"$34,411 ",$0 ,"$34,411 ",Industrial Development Agencies,Auburn Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Syracuse Executive Air Services,,New York,Syracuse,Onondaga,1899 Malden Road,13211,,,2003,"$34,018 ",$0 ,"$34,018 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,59,,,"$3,500,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Cruicible Materials Corporation,,New York,Syracuse,,5715 State Fair Boulevard,13201,,,2007,"$32,969 ",$0 ,"$32,969 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,875,,,"$11,107,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
